299,164,NaN,NaN
296,156,NaN,NaN
NaN,NaN,298,158
287,170,NaN,NaN
294,158,NaN,NaN
284,162,NaN,NaN
295,152,NaN,NaN
NaN,NaN,294,154
295,158,NaN,NaN
NaN,NaN,287,172
NaN,NaN,NaN,NaN
NaN,NaN,298,157
NaN,NaN,NaN,NaN
NaN,NaN,298,166
NaN,NaN,286,175
NaN,NaN,294,154
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,287,164
282,167,NaN,NaN
448,154,286,160
NaN,NaN,NaN,NaN
287,162,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,281,167
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
283,160,NaN,NaN
NaN,NaN,288,173
444,158,NaN,NaN
451,153,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
446,142,NaN,NaN
461,157,NaN,NaN
NaN,NaN,445,159
445,153,NaN,NaN
446,158,NaN,NaN
NaN,NaN,445,152
NaN,NaN,444,154
446,157,NaN,NaN
NaN,NaN,448,154
NaN,NaN,447,154
447,159,NaN,NaN
448,157,286,171
450,152,NaN,NaN
NaN,NaN,447,152
NaN,NaN,447,153
453,156,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,443,155
NaN,NaN,446,153
443,154,NaN,NaN
NaN,NaN,447,149
444,160,288,170
288,167,462,156
287,176,447,158
284,169,448,156
300,162,465,154
448,145,287,180
286,174,448,154
450,154,288,169
447,157,NaN,NaN
284,173,446,157
288,161,444,159
444,157,NaN,NaN
NaN,NaN,289,168
283,170,460,158
445,156,282,168
457,140,286,165
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
444,151,NaN,NaN
NaN,NaN,450,154
NaN,NaN,NaN,NaN
446,153,NaN,NaN
451,151,NaN,NaN
NaN,NaN,447,153
NaN,NaN,447,156
444,154,NaN,NaN
451,152,NaN,NaN
NaN,NaN,451,157
443,152,288,173
448,156,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,451,155
444,155,NaN,NaN
451,145,NaN,NaN
NaN,NaN,444,145
451,155,NaN,NaN
284,167,447,160
NaN,NaN,448,156
447,154,288,164
284,165,444,145
289,165,443,152
448,157,285,168
448,152,281,170
285,173,444,145
454,139,288,173
452,145,282,170
285,174,445,153
NaN,NaN,451,155
286,173,448,150
449,154,284,167
457,157,296,160
444,155,NaN,NaN
NaN,NaN,446,152
281,166,451,136
445,142,287,173
287,161,451,135
446,153,288,168
288,174,451,151
289,165,453,139
443,155,285,160
286,177,445,153
443,148,284,160
286,167,443,148
447,159,NaN,NaN
448,155,NaN,NaN
NaN,NaN,448,147
441,158,282,166
284,173,447,144
285,177,449,145
442,155,288,169
445,157,NaN,NaN
289,169,457,135
447,154,NaN,NaN
NaN,NaN,449,155
446,155,NaN,NaN
447,153,NaN,NaN
287,177,448,155
287,173,452,144
284,160,447,154
448,144,288,175
290,163,455,144
NaN,NaN,460,156
288,171,446,148
454,155,287,164
281,171,445,161
289,164,442,158
455,157,288,167
442,145,286,174
459,160,NaN,NaN
443,161,NaN,NaN
449,155,NaN,NaN
NaN,NaN,445,148
NaN,NaN,449,154
444,156,NaN,NaN
NaN,NaN,451,155
NaN,NaN,443,154
NaN,NaN,451,154
282,176,449,155
NaN,NaN,448,158
451,136,NaN,NaN
285,176,447,146
451,149,NaN,NaN
449,156,282,166
447,147,289,170
449,156,NaN,NaN
NaN,NaN,NaN,NaN
450,155,284,164
287,181,448,147
443,153,289,171
NaN,NaN,289,169
281,170,444,156
456,137,288,176
446,150,286,164
NaN,NaN,288,174
283,177,452,151
284,168,NaN,NaN
449,157,283,169
283,161,452,154
NaN,NaN,450,155
NaN,NaN,460,157
447,154,NaN,NaN
446,152,NaN,NaN
NaN,NaN,441,152
172,224,446,157
449,154,154,235
129,244,NaN,NaN
121,249,NaN,NaN
NaN,NaN,109,248
443,161,98,253
463,158,86,266
87,281,446,153
463,158,91,281
462,163,90,290
93,301,447,148
449,157,89,300
87,311,456,161
NaN,NaN,88,322
NaN,NaN,90,313
83,323,NaN,NaN
91,315,NaN,NaN
90,311,442,156
89,312,442,159
450,153,92,312
449,156,94,306
464,162,89,318
439,158,91,317
458,143,92,313
445,151,95,312
444,148,92,304
103,304,446,153
447,152,87,319
89,313,448,154
87,316,459,159
446,156,100,301
444,155,93,306
NaN,NaN,95,309
102,329,457,162
90,313,450,134
94,303,448,152
86,314,443,157
443,160,95,306
92,309,459,158
449,146,92,301
91,311,446,161
458,160,91,307
102,304,464,155
92,312,450,141
457,162,89,309
92,314,447,151
89,302,443,155
78,297,462,166
91,289,446,154
462,162,112,285
457,139,124,286
461,165,124,302
448,141,145,302
440,157,182,260
179,312,460,158
446,152,203,265
NaN,NaN,192,289
199,295,NaN,NaN
225,303,NaN,NaN
439,157,230,305
NaN,NaN,450,149
NaN,NaN,448,155
444,159,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,445,157
NaN,NaN,443,156
NaN,NaN,NaN,NaN
442,159,NaN,NaN
NaN,NaN,443,149
NaN,NaN,462,157
NaN,NaN,NaN,NaN
441,156,NaN,NaN
NaN,NaN,NaN,NaN
224,312,NaN,NaN
NaN,NaN,223,307
444,147,225,295
NaN,NaN,224,292
NaN,NaN,226,286
NaN,NaN,446,157
NaN,NaN,450,152
442,156,NaN,NaN
NaN,NaN,NaN,NaN
444,156,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,445,156
NaN,NaN,444,157
NaN,NaN,NaN,NaN
447,155,NaN,NaN
448,152,NaN,NaN
NaN,NaN,443,155
441,160,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,446,159
445,154,NaN,NaN
445,160,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,446,158
NaN,NaN,447,152
443,155,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
445,156,NaN,NaN
447,154,NaN,NaN
445,157,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
439,155,NaN,NaN
NaN,NaN,NaN,NaN
447,157,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,450,155
NaN,NaN,444,152
441,156,NaN,NaN
298,154,450,154
445,150,300,161
448,143,303,162
446,155,296,161
442,161,300,162
NaN,NaN,301,164
444,161,305,147
446,157,295,162
306,145,445,157
NaN,NaN,299,162
443,153,299,160
300,158,NaN,NaN
296,164,446,159
444,160,302,166
445,151,306,167
455,144,293,157
443,155,305,146
453,135,302,163
299,157,446,149
448,150,300,159
443,160,289,150
296,160,NaN,NaN
459,162,303,170
460,158,298,160
299,155,467,161
447,152,304,167
NaN,NaN,296,157
290,149,451,151
285,141,446,157
299,162,439,152
448,145,291,158
458,159,292,155
294,155,444,163
NaN,NaN,296,155
460,163,295,159
448,155,303,147
297,167,446,156
292,159,442,161
449,155,297,163
295,159,458,137
447,159,298,165
298,156,452,134
297,161,446,154
447,152,306,148
441,153,297,154
446,155,310,151
293,154,444,149
443,154,300,158
447,152,300,161
460,159,296,152
302,162,462,160
301,166,462,161
445,153,306,170
457,167,297,161
446,161,291,147
293,157,441,155
292,160,446,152
NaN,NaN,300,164
449,142,297,157
442,157,299,160
443,157,294,156
302,164,446,153
NaN,NaN,299,156
460,160,295,162
297,154,450,141
293,153,460,159
450,145,301,160
300,156,441,159
446,157,300,141
300,162,NaN,NaN
297,163,NaN,NaN
292,155,443,157
297,152,449,143
292,155,455,142
295,162,444,158
293,155,448,142
298,163,448,150
300,158,447,152
295,156,453,143
446,142,299,157
447,139,295,155
291,152,458,162
448,156,298,159
299,157,462,164
456,141,296,156
296,154,462,156
299,138,446,160
298,166,461,160
461,160,290,145
299,160,460,157
292,154,442,156
452,147,299,160
299,157,448,152
445,159,299,155
454,136,300,163
NaN,NaN,298,167
466,161,299,158
440,157,300,167
NaN,NaN,300,161
305,165,NaN,NaN
303,156,440,157
307,153,452,158
438,147,312,154
430,143,330,155
425,147,NaN,NaN
NaN,NaN,427,153
393,168,NaN,NaN
NaN,NaN,391,182
NaN,NaN,398,173
416,187,NaN,NaN
432,211,NaN,NaN
452,225,NaN,NaN
NaN,NaN,464,240
478,273,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
530,360,NaN,NaN
NaN,NaN,526,366
NaN,NaN,535,361
532,376,NaN,NaN
NaN,NaN,533,376
NaN,NaN,540,372
NaN,NaN,533,373
529,372,NaN,NaN
530,375,NaN,NaN
524,376,NaN,NaN
527,377,NaN,NaN
NaN,NaN,525,375
NaN,NaN,525,378
525,374,NaN,NaN
NaN,NaN,511,346
NaN,NaN,512,366
508,344,NaN,NaN
NaN,NaN,508,357
NaN,NaN,510,361
NaN,NaN,509,361
513,360,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
511,351,NaN,NaN
510,348,NaN,NaN
514,341,NaN,NaN
NaN,NaN,NaN,NaN
484,267,NaN,NaN
477,239,NaN,NaN
NaN,NaN,443,209
NaN,NaN,445,194
NaN,NaN,411,162
413,162,NaN,NaN
396,147,NaN,NaN
NaN,NaN,NaN,NaN
372,134,NaN,NaN
NaN,NaN,366,117
357,123,NaN,NaN
358,118,NaN,NaN
356,120,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,340,109
347,106,NaN,NaN
348,110,NaN,NaN
343,102,NaN,NaN
