456,147,315,153
319,163,456,150
456,164,322,153
452,165,313,153
316,158,456,143
319,159,463,162
319,163,457,164
313,151,455,144
454,163,318,161
317,153,459,149
317,157,459,144
453,147,315,152
455,169,319,157
457,148,318,156
457,146,321,157
454,148,321,165
461,142,320,162
455,165,322,158
315,162,455,164
320,161,465,149
452,166,323,163
455,163,318,164
454,151,323,164
451,155,318,162
453,149,317,155
319,163,452,164
449,165,318,167
321,154,461,160
321,158,446,163
318,161,457,150
450,151,321,163
456,152,316,150
325,151,446,165
318,161,464,155
322,153,457,150
452,147,316,159
317,159,460,145
315,159,455,151
458,150,314,162
461,152,318,154
318,150,456,151
451,163,319,162
326,152,457,149
463,154,322,152
452,145,318,161
322,162,454,149
328,148,456,164
321,165,460,168
451,165,319,155
456,145,320,158
317,162,453,162
454,154,324,143
320,155,455,170
320,162,462,143
455,161,317,160
453,161,319,147
322,161,455,165
455,143,316,164
458,145,321,151
321,160,461,149
458,163,317,152
322,159,463,145
457,162,321,160
454,162,320,163
463,147,322,159
456,166,317,161
460,143,319,156
319,163,454,146
459,140,321,163
449,155,316,158
319,161,464,148
465,147,322,160
461,163,327,152
462,150,321,164
324,152,453,155
456,178,320,161
326,146,467,166
325,155,464,184
483,186,320,147
NaN,NaN,NaN,NaN
320,151,517,187
509,230,316,161
335,161,531,261
NaN,NaN,534,256
543,312,NaN,NaN
NaN,NaN,542,315
NaN,NaN,554,343
NaN,NaN,535,348
552,347,316,162
312,154,537,356
533,358,311,158
549,363,NaN,NaN
553,356,316,161
547,359,333,154
534,363,316,155
550,363,317,152
544,366,NaN,NaN
549,366,329,150
531,365,314,159
531,360,313,158
542,365,335,169
328,149,543,357
534,361,311,153
535,354,314,151
549,363,318,160
NaN,NaN,550,360
542,349,318,153
545,349,331,152
314,157,539,344
NaN,NaN,560,327
316,158,551,296
NaN,NaN,547,263
538,243,NaN,NaN
538,205,NaN,NaN
NaN,NaN,515,200
NaN,NaN,NaN,NaN
NaN,NaN,488,164
NaN,NaN,473,148
477,147,NaN,NaN
466,128,NaN,NaN
NaN,NaN,458,134
NaN,NaN,446,127
NaN,NaN,452,124
449,124,NaN,NaN
NaN,NaN,446,120
NaN,NaN,435,126
405,131,NaN,NaN
NaN,NaN,432,125
NaN,NaN,445,119
438,129,NaN,NaN
NaN,NaN,436,128
NaN,NaN,NaN,NaN
NaN,NaN,442,137
432,139,NaN,NaN
436,126,NaN,NaN
NaN,NaN,415,133
435,128,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
418,119,NaN,NaN
NaN,NaN,418,120
429,127,NaN,NaN
436,134,328,129
431,121,329,130
324,127,425,125
448,128,328,123
449,136,339,128
348,132,455,140
464,134,364,137
474,144,371,162
NaN,NaN,NaN,NaN
NaN,NaN,486,124
468,129,NaN,NaN
472,134,NaN,NaN
470,267,476,140
NaN,NaN,NaN,NaN
504,328,NaN,NaN
512,358,475,132
480,138,511,359
486,133,NaN,NaN
482,119,NaN,NaN
478,122,NaN,NaN
480,127,NaN,NaN
NaN,NaN,479,125
484,129,NaN,NaN
NaN,NaN,484,125
477,126,NaN,NaN
484,122,NaN,NaN
480,122,NaN,NaN
NaN,NaN,486,120
NaN,NaN,482,126
NaN,NaN,483,125
480,122,NaN,NaN
473,127,NaN,NaN
477,135,NaN,NaN
483,127,514,345
480,129,507,312
474,142,496,292
474,140,474,268
477,126,NaN,NaN
479,131,NaN,NaN
NaN,NaN,444,225
NaN,NaN,490,159
NaN,NaN,479,134
464,141,NaN,NaN
464,147,NaN,NaN
457,151,NaN,NaN
NaN,NaN,444,150
NaN,NaN,456,143
456,133,NaN,NaN
449,128,318,133
443,144,311,137
439,135,NaN,NaN
NaN,NaN,424,147
427,144,317,136
434,150,NaN,NaN
322,144,430,147
319,125,433,134
434,141,321,130
325,134,438,129
433,136,NaN,NaN
443,132,323,141
319,140,445,134
322,132,436,146
439,145,NaN,NaN
434,146,324,137
428,145,323,147
442,125,NaN,NaN
443,133,NaN,NaN
432,138,NaN,NaN
NaN,NaN,436,139
443,123,NaN,NaN
442,129,NaN,NaN
NaN,NaN,429,138
433,143,NaN,NaN
438,134,NaN,NaN
NaN,NaN,445,121
442,121,NaN,NaN
NaN,NaN,435,138
NaN,NaN,431,144
428,142,NaN,NaN
NaN,NaN,431,143
NaN,NaN,432,144
429,134,NaN,NaN
NaN,NaN,438,133
432,139,NaN,NaN
NaN,NaN,428,138
431,139,NaN,NaN
436,131,NaN,NaN
NaN,NaN,437,130
NaN,NaN,440,132
444,125,NaN,NaN
NaN,NaN,435,139
438,144,NaN,NaN
NaN,NaN,441,129
432,132,NaN,NaN
NaN,NaN,428,141
NaN,NaN,438,129
NaN,NaN,439,140
NaN,NaN,435,135
439,128,NaN,NaN
NaN,NaN,441,133
430,142,NaN,NaN
NaN,NaN,431,136
NaN,NaN,436,134
NaN,NaN,435,130
NaN,NaN,433,134
NaN,NaN,427,124
439,146,NaN,NaN
429,137,NaN,NaN
438,126,NaN,NaN
NaN,NaN,435,124
NaN,NaN,433,148
NaN,NaN,434,142
433,144,NaN,NaN
NaN,NaN,441,141
NaN,NaN,437,144
436,140,NaN,NaN
433,118,NaN,NaN
NaN,NaN,447,125
NaN,NaN,429,133
NaN,NaN,434,122
NaN,NaN,433,121
434,135,NaN,NaN
NaN,NaN,432,144
NaN,NaN,430,141
438,121,NaN,NaN
NaN,NaN,427,143
NaN,NaN,435,121
NaN,NaN,434,132
NaN,NaN,439,130
433,128,NaN,NaN
NaN,NaN,435,132
437,137,NaN,NaN
436,128,NaN,NaN
NaN,NaN,433,132
NaN,NaN,429,133
NaN,NaN,432,130
NaN,NaN,433,125
NaN,NaN,434,127
NaN,NaN,439,128
NaN,NaN,430,122
NaN,NaN,437,129
436,138,NaN,NaN
437,130,NaN,NaN
430,129,NaN,NaN
432,142,NaN,NaN
NaN,NaN,434,136
434,139,NaN,NaN
446,136,338,142
338,138,448,128
337,133,452,149
464,123,337,131
463,147,310,131
469,142,315,136
313,157,454,147
460,146,314,166
317,191,460,144
449,156,NaN,NaN
450,146,NaN,NaN
452,153,NaN,NaN
451,148,NaN,NaN
452,145,322,335
452,152,323,354
452,153,316,370
449,153,320,374
320,376,449,149
318,379,449,157
447,156,314,379
453,157,318,376
451,158,322,380
451,145,NaN,NaN
306,377,453,150
452,158,310,378
450,149,318,371
307,375,448,153
455,149,310,359
449,145,315,362
447,151,306,358
449,138,319,349
NaN,NaN,452,151
NaN,NaN,451,143
448,151,NaN,NaN
449,145,NaN,NaN
NaN,NaN,455,146
451,144,NaN,NaN
NaN,NaN,454,138
335,175,445,154
336,157,446,139
449,144,345,159
452,146,335,163
445,142,339,161
336,162,443,147
438,142,331,158
444,145,328,147
333,155,446,130
331,134,441,138
331,151,437,143
440,143,334,151
NaN,NaN,429,136
337,156,449,136
448,130,344,162
441,142,329,153
445,141,334,159
340,148,445,127
334,144,439,132
347,146,446,130
336,161,435,140
435,138,335,142
438,141,338,145
341,146,443,127
333,134,440,139
332,147,443,133
336,139,447,142
325,136,431,140
331,146,443,136
334,135,435,126
429,133,329,139
348,143,448,122
436,121,333,137
340,143,440,148
334,149,437,116
433,119,333,134
331,136,436,146
344,136,445,120
NaN,NaN,349,142
NaN,NaN,346,137
NaN,NaN,350,139
341,122,NaN,NaN
NaN,NaN,345,128
NaN,NaN,375,65
364,62,363,171
345,161,367,64
380,62,353,168
373,63,NaN,NaN
NaN,NaN,358,61
NaN,NaN,334,71
NaN,NaN,333,66
NaN,NaN,316,61
NaN,NaN,308,69
NaN,NaN,NaN,NaN
NaN,NaN,371,175
NaN,NaN,371,170
NaN,NaN,NaN,NaN
368,167,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,298,62
292,68,NaN,NaN
NaN,NaN,NaN,NaN
349,142,285,64
316,67,NaN,NaN
322,119,395,62
NaN,NaN,317,117
291,102,390,124
325,139,422,105
321,130,426,114
408,119,308,126
428,123,331,136
425,128,317,121
305,121,409,128
411,131,312,115
312,113,411,128
318,128,418,132
329,127,428,123
338,143,436,140
444,128,332,130
431,118,331,129
432,124,336,128
330,131,440,127
435,129,327,131
433,134,325,132
439,131,333,139
329,131,437,119
439,127,333,129
338,130,442,133
441,137,341,125
460,129,350,136
339,128,442,134
338,139,455,132
335,127,441,142
455,125,348,145
332,129,450,137
447,134,345,119
443,140,342,130
455,136,342,130
338,132,440,138
442,143,333,126
457,131,334,126
457,127,340,127
458,134,347,136
348,139,459,119
456,137,339,122
332,122,453,139
457,126,334,129
336,115,437,136
331,113,442,141
326,128,434,139
447,135,329,131
443,143,344,137
440,137,325,124
441,139,328,127
341,138,452,140
441,134,335,131
347,142,449,140
333,121,441,137
344,143,454,139
344,137,453,127
336,126,448,144
339,134,444,123
450,135,335,119
440,134,340,133
342,132,454,119
330,125,446,139
340,131,440,142
450,141,349,139
336,132,439,131
349,140,455,118
446,119,342,136
342,136,446,138
344,140,445,124
454,122,349,137
337,133,457,125
340,137,452,120
341,129,459,135
447,134,338,128
346,138,454,130
339,133,442,134
453,137,342,127
348,134,453,126
452,134,343,121
448,130,340,126
460,125,353,144
457,134,352,156
341,148,448,138
452,142,348,158
342,154,444,144
448,140,NaN,NaN
451,138,NaN,NaN
459,140,NaN,NaN
457,140,368,248
458,143,387,262
408,308,452,145
NaN,NaN,451,142
452,143,403,306
466,140,421,330
457,136,410,328
418,337,459,140
457,136,421,331
415,341,450,144
455,142,415,335
454,142,414,336
403,335,449,140
402,329,463,139
410,348,457,139
